date,platform,content,likes,shares,comments
2023-09-21,Facebook,"Commandez avant midi, livraison le lendemain !",3969,186,260
2022-11-03,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,158,9,281
2022-05-29,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,1597,465,187
2022-06-27,Instagram,"Commandez avant midi, livraison le lendemain !",3163,420,272
2023-04-06,Twitter,"Commandez avant midi, livraison le lendemain !",1850,446,274
2023-01-10,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,368,60,172
2022-10-28,Instagram,Flash sale : 48h de promotions exceptionnelles !,4540,84,297
2024-05-08,LinkedIn,Rejoignez notre programme fidelite.,3941,210,202
2023-02-24,Facebook,Rejoignez notre programme fidelite.,953,430,113
2023-12-15,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,3195,363,20
2022-11-11,Instagram,"Commandez avant midi, livraison le lendemain !",3931,181,140
2022-11-13,Twitter,Flash sale : 48h de promotions exceptionnelles !,1671,412,15
2023-08-13,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,337,315,145
2023-07-18,Twitter,Nouvelle collection disponible ! -20% ce weekend.,210,46,147
2022-09-08,Twitter,"Commandez avant midi, livraison le lendemain !",52,483,73
2023-06-24,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,4038,119,119
2024-01-07,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,616,77,227
2023-09-23,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,4235,87,199
2022-09-18,LinkedIn,"Commandez avant midi, livraison le lendemain !",1986,221,64
2024-03-22,Twitter,Flash sale : 48h de promotions exceptionnelles !,977,77,151
2023-07-06,Facebook,Flash sale : 48h de promotions exceptionnelles !,4090,158,30
2024-03-19,Facebook,Flash sale : 48h de promotions exceptionnelles !,329,449,255
2023-06-01,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,696,361,222
2023-04-08,TikTok,"Commandez avant midi, livraison le lendemain !",3223,127,300
2022-12-11,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,1001,272,200
2022-11-03,Instagram,Nouvelle collection disponible ! -20% ce weekend.,4413,238,75
2024-06-08,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,4275,183,152
2024-05-23,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,818,428,268
2023-01-09,Instagram,"Commandez avant midi, livraison le lendemain !",3769,404,300
2023-04-19,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,3574,433,16
2024-06-06,Facebook,Nouvelle collection disponible ! -20% ce weekend.,3693,435,62
2023-09-12,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,4364,263,256
2022-12-30,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,1788,236,260
2022-12-04,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,3874,342,90
2024-01-27,Twitter,"Commandez avant midi, livraison le lendemain !",2498,296,94
2023-02-26,Instagram,Flash sale : 48h de promotions exceptionnelles !,4116,238,161
2024-03-22,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,228,387,196
2023-10-23,TikTok,Flash sale : 48h de promotions exceptionnelles !,3201,47,53
2023-06-29,LinkedIn,"Commandez avant midi, livraison le lendemain !",2041,175,48
2022-11-13,Twitter,Nouvelle collection disponible ! -20% ce weekend.,1729,362,185
2023-07-11,Twitter,Nouvelle collection disponible ! -20% ce weekend.,4183,162,178
2024-05-22,TikTok,"Commandez avant midi, livraison le lendemain !",749,140,32
2023-01-19,Twitter,Flash sale : 48h de promotions exceptionnelles !,4265,199,237
2023-04-23,Facebook,Flash sale : 48h de promotions exceptionnelles !,2152,246,296
2023-10-12,TikTok,Rejoignez notre programme fidelite.,3122,128,111
2022-04-17,Facebook,"Commandez avant midi, livraison le lendemain !",4610,253,227
2022-03-14,TikTok,Flash sale : 48h de promotions exceptionnelles !,2374,486,95
2022-05-28,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,4787,396,246
2022-12-27,TikTok,"Commandez avant midi, livraison le lendemain !",3099,496,108
2022-01-20,Twitter,Flash sale : 48h de promotions exceptionnelles !,2769,137,69
2023-11-19,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,4971,246,167
2022-09-19,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,1830,325,17
2023-12-27,Twitter,"Commandez avant midi, livraison le lendemain !",3470,325,164
2022-05-29,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,3730,437,17
2024-06-03,Instagram,Rejoignez notre programme fidelite.,3034,408,280
2023-07-27,Facebook,Nouvelle collection disponible ! -20% ce weekend.,378,98,17
2023-12-28,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,480,96,213
2022-07-03,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,4413,135,289
2023-09-23,Instagram,Nouvelle collection disponible ! -20% ce weekend.,292,485,26
2022-06-16,Facebook,Rejoignez notre programme fidelite.,2054,301,182
2022-03-10,Twitter,Rejoignez notre programme fidelite.,4753,16,39
2022-06-20,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,1203,70,17
2023-08-30,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,2940,19,14
2022-11-19,Facebook,"Commandez avant midi, livraison le lendemain !",187,97,167
2022-02-27,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,3370,303,202
2022-01-31,Twitter,Rejoignez notre programme fidelite.,3068,340,300
2022-01-19,TikTok,Flash sale : 48h de promotions exceptionnelles !,1895,122,50
2023-04-20,Instagram,Rejoignez notre programme fidelite.,3731,273,48
2023-11-21,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,2927,70,65
2022-10-09,LinkedIn,Rejoignez notre programme fidelite.,4098,380,280
2023-06-28,Instagram,"Commandez avant midi, livraison le lendemain !",4106,160,38
2023-04-11,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,1266,178,45
2023-10-27,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,4647,360,193
2023-11-19,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,1129,310,107
2023-05-09,LinkedIn,Rejoignez notre programme fidelite.,3379,400,62
2024-06-25,Instagram,Nouvelle collection disponible ! -20% ce weekend.,2946,217,19
2024-03-24,Twitter,Rejoignez notre programme fidelite.,4484,246,271
2023-11-23,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,4547,215,284
2022-05-21,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,3658,256,100
2023-04-15,LinkedIn,"Commandez avant midi, livraison le lendemain !",2935,225,245
2023-04-28,Instagram,Flash sale : 48h de promotions exceptionnelles !,4254,295,296
2024-05-02,Twitter,Flash sale : 48h de promotions exceptionnelles !,3942,327,89
2022-08-06,Facebook,Nouvelle collection disponible ! -20% ce weekend.,3188,437,60
2022-11-13,LinkedIn,Rejoignez notre programme fidelite.,2285,55,236
2023-11-29,Instagram,Rejoignez notre programme fidelite.,3708,202,186
2022-03-06,Facebook,Nouvelle collection disponible ! -20% ce weekend.,1173,27,202
2022-07-26,Facebook,"Commandez avant midi, livraison le lendemain !",309,166,191
2024-04-09,Facebook,Nouvelle collection disponible ! -20% ce weekend.,3532,495,199
2024-01-10,Twitter,Flash sale : 48h de promotions exceptionnelles !,874,372,127
2022-10-16,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,1472,169,13
2022-11-10,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,4726,161,192
2023-07-03,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,4678,269,55
2022-03-23,TikTok,"Commandez avant midi, livraison le lendemain !",1913,333,300
2023-03-16,Facebook,Flash sale : 48h de promotions exceptionnelles !,1188,355,22
2024-01-08,TikTok,"Commandez avant midi, livraison le lendemain !",3089,325,38
2022-12-25,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,1610,455,165
2022-02-17,Facebook,Flash sale : 48h de promotions exceptionnelles !,184,125,142
2022-01-25,Twitter,Rejoignez notre programme fidelite.,4496,121,130
2023-12-29,Instagram,Flash sale : 48h de promotions exceptionnelles !,1367,83,92
2022-02-03,Instagram,Rejoignez notre programme fidelite.,550,121,14
2022-08-15,Twitter,Nouvelle collection disponible ! -20% ce weekend.,3457,285,109
2023-05-12,Facebook,Flash sale : 48h de promotions exceptionnelles !,717,327,112
2022-07-14,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,499,367,147
2022-09-22,Twitter,Nouvelle collection disponible ! -20% ce weekend.,2214,452,192
2023-08-05,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,2462,444,300
2022-05-13,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,1257,193,15
2023-03-19,Twitter,Rejoignez notre programme fidelite.,2203,90,117
2022-02-24,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,4623,188,103
2024-04-05,Facebook,Nouvelle collection disponible ! -20% ce weekend.,3929,152,91
2024-03-06,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,608,37,291
2024-03-22,Twitter,Flash sale : 48h de promotions exceptionnelles !,1423,142,25
2024-05-16,Facebook,Flash sale : 48h de promotions exceptionnelles !,1044,168,176
2023-08-10,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,3445,19,88
2022-07-09,Facebook,Flash sale : 48h de promotions exceptionnelles !,3952,271,184
2022-03-18,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,1394,312,18
2023-08-22,Instagram,Rejoignez notre programme fidelite.,4817,401,30
2022-07-02,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,3942,93,137
2023-04-24,Instagram,Nouvelle collection disponible ! -20% ce weekend.,3349,358,225
2022-04-08,Instagram,Rejoignez notre programme fidelite.,804,200,196
2023-09-04,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,2244,102,115
2023-11-03,Facebook,Rejoignez notre programme fidelite.,3210,101,117
2022-11-27,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,786,477,280
2022-01-29,Instagram,"Commandez avant midi, livraison le lendemain !",4167,483,272
2023-04-27,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,3238,476,7
2024-04-01,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,1192,248,288
2023-05-12,TikTok,Flash sale : 48h de promotions exceptionnelles !,2284,299,67
2023-02-17,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,3373,77,37
2023-12-23,TikTok,Nouvelle collection disponible ! -20% ce weekend.,2487,259,223
2022-01-25,Instagram,Rejoignez notre programme fidelite.,98,260,101
2024-02-08,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,303,204,151
2022-12-31,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,2517,341,105
2023-02-22,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4467,159,183
2024-01-22,Instagram,Flash sale : 48h de promotions exceptionnelles !,849,415,74
2024-05-16,Facebook,Flash sale : 48h de promotions exceptionnelles !,1673,322,288
2024-06-27,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,3927,12,272
2022-08-18,TikTok,Flash sale : 48h de promotions exceptionnelles !,897,448,186
2022-08-22,LinkedIn,"Commandez avant midi, livraison le lendemain !",3017,124,180
2023-10-23,Facebook,Nouvelle collection disponible ! -20% ce weekend.,4479,42,129
2022-10-12,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,4337,208,178
2023-09-16,Twitter,Rejoignez notre programme fidelite.,3412,49,195
2022-04-15,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,412,86,37
2022-07-05,Facebook,"Commandez avant midi, livraison le lendemain !",1377,102,195
2022-07-05,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,2708,195,17
2022-08-23,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,420,112,218
2022-10-01,Twitter,Flash sale : 48h de promotions exceptionnelles !,2995,491,211
2022-07-09,TikTok,Nouvelle collection disponible ! -20% ce weekend.,3211,483,41
2023-06-09,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,1535,364,6
2024-06-25,Twitter,Rejoignez notre programme fidelite.,787,346,234
2022-02-10,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,3834,106,173
2022-07-31,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,2900,118,85
2022-03-21,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,628,211,150
2022-04-21,TikTok,Rejoignez notre programme fidelite.,3231,272,75
2023-06-04,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,1862,136,181
2024-06-04,Instagram,Flash sale : 48h de promotions exceptionnelles !,1408,6,160
2022-07-29,LinkedIn,"Commandez avant midi, livraison le lendemain !",3091,309,103
2023-06-27,Instagram,Flash sale : 48h de promotions exceptionnelles !,2025,5,260
2022-06-09,TikTok,Rejoignez notre programme fidelite.,3423,192,86
2024-05-04,Twitter,Flash sale : 48h de promotions exceptionnelles !,4993,342,93
2023-03-13,Facebook,Rejoignez notre programme fidelite.,3554,429,23
2022-12-17,Facebook,Nouvelle collection disponible ! -20% ce weekend.,2051,83,211
2022-12-07,Twitter,Nouvelle collection disponible ! -20% ce weekend.,3711,39,209
2022-08-29,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,1325,296,176
2024-03-01,TikTok,Flash sale : 48h de promotions exceptionnelles !,4090,204,128
2023-07-06,Facebook,Flash sale : 48h de promotions exceptionnelles !,392,22,292
2022-05-12,Instagram,Rejoignez notre programme fidelite.,1300,491,25
2022-07-12,Facebook,Rejoignez notre programme fidelite.,1493,191,18
2023-05-31,LinkedIn,Rejoignez notre programme fidelite.,392,233,145
2022-07-18,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,1701,194,19
2024-05-08,LinkedIn,Rejoignez notre programme fidelite.,778,234,106
2024-04-27,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,2004,165,15
2022-12-08,Facebook,Flash sale : 48h de promotions exceptionnelles !,4171,444,139
2023-06-21,TikTok,Nouvelle collection disponible ! -20% ce weekend.,3265,126,172
2022-06-13,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,4906,485,220
2024-02-29,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,3830,176,208
2024-04-12,Twitter,Flash sale : 48h de promotions exceptionnelles !,3372,89,78
2024-06-25,Instagram,Nouvelle collection disponible ! -20% ce weekend.,2420,32,81
2024-04-08,Twitter,Nouvelle collection disponible ! -20% ce weekend.,1137,172,108
2024-01-09,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,2760,450,175
2022-09-05,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,849,158,16
2024-03-03,Twitter,Flash sale : 48h de promotions exceptionnelles !,408,107,179
2023-08-15,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,769,43,273
2022-01-17,Instagram,"Commandez avant midi, livraison le lendemain !",3367,450,108
2023-10-21,TikTok,Rejoignez notre programme fidelite.,2773,269,109
2023-09-13,TikTok,Flash sale : 48h de promotions exceptionnelles !,1503,186,146
2024-06-02,Facebook,Flash sale : 48h de promotions exceptionnelles !,3025,176,223
2024-05-07,Facebook,Rejoignez notre programme fidelite.,477,28,136
2023-05-27,TikTok,"Commandez avant midi, livraison le lendemain !",3426,411,218
2024-06-14,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,3345,80,20
2023-12-15,TikTok,Rejoignez notre programme fidelite.,4986,191,267
2024-01-12,TikTok,Rejoignez notre programme fidelite.,2858,476,210
2022-11-17,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,3923,248,235
2024-04-03,Instagram,Rejoignez notre programme fidelite.,3220,183,264
2023-01-28,TikTok,"Commandez avant midi, livraison le lendemain !",911,440,29
2022-12-07,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,3359,461,157
2023-12-07,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,1994,206,280
2024-06-10,Facebook,"Commandez avant midi, livraison le lendemain !",1196,239,119
2023-06-21,Instagram,Flash sale : 48h de promotions exceptionnelles !,2954,167,32
2022-03-13,Facebook,Rejoignez notre programme fidelite.,1381,62,107
2022-07-06,Instagram,Rejoignez notre programme fidelite.,905,73,173
2022-07-17,Instagram,"Commandez avant midi, livraison le lendemain !",955,67,151
2022-04-27,Twitter,Rejoignez notre programme fidelite.,1697,297,173
2023-03-06,LinkedIn,"Commandez avant midi, livraison le lendemain !",313,71,167
2024-06-15,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,1728,469,129
2022-07-05,Facebook,"Commandez avant midi, livraison le lendemain !",3669,483,262
2022-11-01,TikTok,Rejoignez notre programme fidelite.,4311,292,263
2023-05-30,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,874,418,96
2022-02-21,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,703,104,71
2022-04-27,Twitter,Rejoignez notre programme fidelite.,4360,119,245
2023-10-11,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,3042,225,194
2022-02-14,Facebook,Rejoignez notre programme fidelite.,4125,12,167
2022-07-06,Facebook,Nouvelle collection disponible ! -20% ce weekend.,1612,98,237
2022-06-11,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,1498,444,79
2023-08-20,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,304,231,223
2024-06-05,Instagram,Rejoignez notre programme fidelite.,2412,34,260
2022-03-12,Facebook,Flash sale : 48h de promotions exceptionnelles !,307,471,101
2022-11-22,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3633,455,238
2024-02-09,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,109,288,85
2022-11-05,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,4128,362,48
2023-04-06,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,3559,64,173
2024-06-22,Instagram,Nouvelle collection disponible ! -20% ce weekend.,853,142,17
2024-06-03,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3113,135,286
2023-12-04,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,2090,470,116
2024-04-08,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,4598,138,126
2022-09-28,Twitter,Nouvelle collection disponible ! -20% ce weekend.,3874,379,225
2023-12-04,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,3799,478,24
2023-03-28,Facebook,Rejoignez notre programme fidelite.,2892,293,60
2022-10-15,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,1205,205,180
2022-02-28,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,2646,57,143
2022-07-02,Twitter,"Commandez avant midi, livraison le lendemain !",4381,468,221
2022-04-24,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,4216,382,126
2023-08-24,LinkedIn,Rejoignez notre programme fidelite.,2701,322,275
2022-05-14,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,2941,294,84
2022-07-20,Facebook,"Commandez avant midi, livraison le lendemain !",4815,323,185
2024-02-18,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,2218,87,102
2023-12-16,TikTok,Rejoignez notre programme fidelite.,1857,487,43
2022-02-10,TikTok,Nouvelle collection disponible ! -20% ce weekend.,3961,362,110
2022-07-28,Facebook,"Commandez avant midi, livraison le lendemain !",2786,112,47
2022-05-16,TikTok,Rejoignez notre programme fidelite.,4457,396,108
2023-01-10,Facebook,Nouvelle collection disponible ! -20% ce weekend.,1677,310,262
2024-03-25,Facebook,Flash sale : 48h de promotions exceptionnelles !,3219,272,202
2023-12-30,LinkedIn,Rejoignez notre programme fidelite.,3289,232,268
2024-04-07,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,4858,70,7
2024-03-26,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,3943,55,147
2023-05-25,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,2968,159,105
2023-05-07,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,4547,312,35
2022-09-21,Instagram,Nouvelle collection disponible ! -20% ce weekend.,385,466,226
2022-12-13,Facebook,"Commandez avant midi, livraison le lendemain !",4793,266,283
2024-01-18,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,3236,98,297
2023-05-19,Instagram,Nouvelle collection disponible ! -20% ce weekend.,4511,272,99
2023-11-19,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,4348,244,190
2023-06-18,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,927,284,224
2022-01-17,TikTok,"Commandez avant midi, livraison le lendemain !",4968,457,47
2023-03-01,TikTok,Flash sale : 48h de promotions exceptionnelles !,4924,438,286
2023-05-05,Twitter,Rejoignez notre programme fidelite.,3985,242,171
2023-09-01,Instagram,"Commandez avant midi, livraison le lendemain !",3681,231,198
2023-11-25,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,4714,81,106
2023-03-14,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,4295,205,251
2022-10-05,Twitter,Flash sale : 48h de promotions exceptionnelles !,2818,471,119
2022-10-18,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,4156,359,203
2024-04-02,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,791,195,207
2023-02-13,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,2590,472,106
2022-11-30,TikTok,Rejoignez notre programme fidelite.,174,272,50
2022-12-10,LinkedIn,"Commandez avant midi, livraison le lendemain !",4801,426,207
2023-01-01,LinkedIn,"Commandez avant midi, livraison le lendemain !",3174,330,172
2023-01-17,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,647,346,124
2023-09-24,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,1138,46,182
2023-07-17,Facebook,Flash sale : 48h de promotions exceptionnelles !,463,222,127
2022-04-09,Twitter,Nouvelle collection disponible ! -20% ce weekend.,1585,153,68
2023-06-17,Twitter,Flash sale : 48h de promotions exceptionnelles !,2951,466,46
2023-06-24,Twitter,"Commandez avant midi, livraison le lendemain !",1488,239,205
2023-01-21,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,2843,197,284
2024-04-26,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,2777,9,159
2022-03-03,Facebook,Rejoignez notre programme fidelite.,74,247,208
2022-10-02,LinkedIn,"Commandez avant midi, livraison le lendemain !",3099,444,297
2022-06-02,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,2955,348,205
2023-06-26,Facebook,Flash sale : 48h de promotions exceptionnelles !,794,408,68
2022-10-08,Instagram,Nouvelle collection disponible ! -20% ce weekend.,2721,419,281
2023-12-16,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,4112,472,71
2022-10-04,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,1216,195,176
2022-11-19,TikTok,Rejoignez notre programme fidelite.,2655,49,139
2022-03-29,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3137,303,13
2022-02-17,LinkedIn,Rejoignez notre programme fidelite.,4382,254,31
2022-07-08,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,4662,171,212
2022-08-28,TikTok,Nouvelle collection disponible ! -20% ce weekend.,3363,211,123
2023-02-12,Facebook,Flash sale : 48h de promotions exceptionnelles !,3917,473,250
2024-06-11,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,3275,134,272
2023-08-27,Instagram,Flash sale : 48h de promotions exceptionnelles !,1510,350,144
2023-07-16,TikTok,"Commandez avant midi, livraison le lendemain !",2218,252,99
2024-02-13,Twitter,Nouvelle collection disponible ! -20% ce weekend.,973,70,268
2024-06-04,Instagram,Flash sale : 48h de promotions exceptionnelles !,2756,412,259
2022-02-18,Facebook,Nouvelle collection disponible ! -20% ce weekend.,2951,135,99
2023-07-18,LinkedIn,Nouvelle collection disponible ! -20% ce weekend.,2399,286,75
2023-07-17,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,733,69,277
2024-04-15,Twitter,Livraison gratuite sur toutes les commandes > 50 EUR.,2808,371,69
2024-04-01,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,2064,151,6
2023-03-05,Instagram,"Commandez avant midi, livraison le lendemain !",3740,355,43
2022-02-15,Twitter,Rejoignez notre programme fidelite.,4786,365,171
2022-05-15,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,2394,95,86
2023-09-15,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,2137,436,107
2023-07-28,Facebook,Nouvelle collection disponible ! -20% ce weekend.,2724,436,76
2023-04-14,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,4956,273,11
2023-05-08,Twitter,Rejoignez notre programme fidelite.,1407,32,13
2022-01-30,TikTok,"Commandez avant midi, livraison le lendemain !",2340,67,81
2024-04-02,Instagram,"Commandez avant midi, livraison le lendemain !",171,322,22
2023-05-20,LinkedIn,"Commandez avant midi, livraison le lendemain !",258,192,154
2024-06-08,TikTok,Paiement en 3 fois sans frais sur nos smartphones.,903,54,249
2023-04-09,TikTok,Nouvelle collection disponible ! -20% ce weekend.,383,182,93
2023-01-23,Facebook,"Commandez avant midi, livraison le lendemain !",1096,117,83
2023-07-07,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,280,444,9
2022-02-15,TikTok,Flash sale : 48h de promotions exceptionnelles !,3672,298,136
2022-01-22,TikTok,"Commandez avant midi, livraison le lendemain !",3009,284,191
2023-12-09,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,3902,76,96
2022-11-22,LinkedIn,Paiement en 3 fois sans frais sur nos smartphones.,3828,359,11
2024-05-03,TikTok,"Commandez avant midi, livraison le lendemain !",387,319,96
2022-11-14,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,3130,42,276
2022-05-25,TikTok,"Commandez avant midi, livraison le lendemain !",882,192,231
2022-10-06,Twitter,"Commandez avant midi, livraison le lendemain !",2444,441,211
2023-12-29,TikTok,"Commandez avant midi, livraison le lendemain !",3474,144,260
2023-04-27,Instagram,Livraison gratuite sur toutes les commandes > 50 EUR.,3308,318,96
2023-12-19,Facebook,Nouvelle collection disponible ! -20% ce weekend.,1949,59,66
2022-05-01,Instagram,Rejoignez notre programme fidelite.,2262,229,53
2022-05-17,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,4500,459,100
2023-07-24,Instagram,Rejoignez notre programme fidelite.,3226,42,274
2022-02-01,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,226,161,271
2022-08-01,Instagram,Flash sale : 48h de promotions exceptionnelles !,1873,242,252
2024-04-03,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,2056,461,37
2023-08-11,Facebook,Rejoignez notre programme fidelite.,252,444,72
2024-06-01,LinkedIn,Livraison gratuite sur toutes les commandes > 50 EUR.,4915,413,278
2024-04-29,LinkedIn,"Commandez avant midi, livraison le lendemain !",3922,348,290
2022-11-22,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,4638,305,178
2024-06-02,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,933,291,110
2022-09-16,Instagram,Rejoignez notre programme fidelite.,2022,66,297
2022-06-12,Facebook,Rejoignez notre programme fidelite.,4379,436,137
2023-07-06,Facebook,Livraison gratuite sur toutes les commandes > 50 EUR.,271,264,189
2023-11-22,Instagram,Paiement en 3 fois sans frais sur nos smartphones.,3991,347,56
2023-09-14,Twitter,Paiement en 3 fois sans frais sur nos smartphones.,4356,142,226
2023-06-24,LinkedIn,Flash sale : 48h de promotions exceptionnelles !,3951,445,246
2024-06-10,TikTok,Livraison gratuite sur toutes les commandes > 50 EUR.,895,243,23
2022-04-26,Facebook,"Commandez avant midi, livraison le lendemain !",663,258,155
2023-09-15,Facebook,Paiement en 3 fois sans frais sur nos smartphones.,2262,46,241
2024-05-30,Instagram,Rejoignez notre programme fidelite.,1938,234,240
